"","asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr"
"b_Vpp_Sufficient_smlr",-0.231446510291924,-0.0307578784782634,0.012723906974268,0.00049965983743414,-0.0846861238804771,0.0671155238507067,0.068647290987502,0.0678125840485896,0.0415960767224779,0.0452393738958474,1,-0.00295887270491243,0.0174503221155346,0.102632376991348,-0.0490611519564713,0.00171407009539709,-0.000936820529721224,-0.0104823064727577,0.0102374416389995,0.0104778680682256,0.00876326429074391,0.00450567421727056,0.00499110382596923,0.114902139657598,-0.0015706814072664,-0.000786091316773842,0.0131722295729253,-0.00553335099077042
"b_Edc_MoreBachelor_smlr",-0.112584835452793,-0.005232679935941,0.00197720222387181,-0.0305409978602001,-0.0217846725794241,-0.227851402277653,-0.206564129312614,-0.181300085634373,-0.20276366688042,-0.326560741717206,-0.00295887270491243,1,0.024995591204777,0.00928604560467006,0.0127145109089242,0.000308151369336196,-0.0031028555806313,-0.002169777119843,-0.0301009566209808,-0.0262061978357446,-0.0182775662313716,-0.0198569161112255,-0.0345856963109959,-0.00100000071197766,0.104928229485053,0.00289469028133715,0.000407308435033444,5.46602305745309e-05
"b_Gen_NonFemale_smlr",-0.200177248128042,-0.0196187142077395,-0.00762389713294005,-0.00915129013045603,-0.00907366178490367,-0.0690128392414469,-0.0795500684921164,-0.0615625406136682,-0.0231343705409266,-0.0452346522881498,0.0174503221155346,0.024995591204777,1,0.0595676014084086,0.0382338461025312,-0.00173989998145533,0.000401743642517501,0.00215239637005455,-0.0108332955686119,-0.0123303741937887,-0.00896832592669021,-0.00128920688183808,-0.00446307182650202,0.000359563977277848,0.0102598855618361,0.103255425447172,0.00304376519201545,0.00270412215854615
"b_Ngh_NonUrban_smlr",-0.337773791882354,-0.0457802394986715,-0.0655877879950626,-0.0559137513936158,0.080253105265689,0.0776391052621488,0.0484315814738338,-0.0190981426685731,-0.0282159318777571,-0.0573384957656083,0.102632376991348,0.00928604560467006,0.0595676014084086,1,0.0927361804656323,-0.00579920136351917,-0.00732960815059208,0.006271968322412,0.0130273308994499,0.00914345379828162,0.00172587779989528,-0.00511485307756213,-0.00833394628663412,0.0126618501180488,-0.00399029491688496,0.000203396452052417,0.11795341533776,0.0147114431585189
"b_Rac_Other_smlr",-0.282388547993784,-0.0382296532806678,0.0170614384206579,-0.0369520224371974,-0.0465531793767944,0.0567269585835434,0.065516873602134,0.0999592774571553,0.0374027012125278,0.145620328642788,-0.0490611519564713,0.0127145109089242,0.0382338461025312,0.0927361804656323,1,0.00209566680524263,-0.00598816188462253,-0.00557822675161126,0.00891548041175159,0.00920342186758231,0.0115162864779907,0.00300191565200151,0.0162174646581749,-0.00555376939223038,-0.000101334825280792,0.00289005984274545,0.0142171900530152,0.116093162480602
"b_City_Midwest_grtr",-0.0202912570658676,-0.196557395352477,0.0977922042335633,0.0348855672050178,0.0357154420103439,-0.00149466544561953,-0.00132843406765548,-0.000757438088836812,-0.000443729724906106,0.00459354801122228,0.00171407009539709,0.000308151369336196,-0.00173989998145533,-0.00579920136351917,0.00209566680524263,1,0.29401772280505,0.288224669075657,-0.0183783780196915,-0.0145763873203961,-0.00430925588842475,-0.00247107572458821,0.0408298108556679,0.00937702549897248,0.00513933152111638,-0.0127029397883572,-0.0534513967023648,0.00694740007535993
"b_City_South_grtr",-0.017309760531455,-0.186632963495466,0.0363894160623707,0.117478646961604,0.040874004020821,-0.00208631940889192,-0.00290974200139091,-0.00370938425431918,-0.00109524023523101,-0.000663777222037649,-0.000936820529721224,-0.0031028555806313,0.000401743642517501,-0.00732960815059208,-0.00598816188462253,0.29401772280505,1,0.327992703243614,-0.00259494850141391,-0.0108981942092644,-0.00911169891406035,0.00148589141534069,-0.0150433766176286,-0.00530212551741709,-0.0402466893871863,-0.000746616728438328,-0.05941685207588,-0.0356184881135849
"b_City_Northeast_grtr",-0.0188870351261434,-0.190584445875956,0.0356677203246964,0.0391929418491461,0.121858950338985,-0.00305847735697389,-0.00422639929260331,-0.00820418166327415,-0.00141959482653002,-0.00358730688028006,-0.0104823064727577,-0.002169777119843,0.00215239637005455,0.006271968322412,-0.00557822675161126,0.288224669075657,0.327992703243614,1,-0.0165612779274345,-0.0283390755950656,-0.0444279820254668,-0.0291588995346417,-0.0268154300148489,-0.0663835635248335,-0.0306585510634279,-0.00576971742897692,0.0870817739218386,-0.0620383463355796
"b_Age_Millenials_grtr",-0.0830503530324399,-0.515558080425861,-0.00210837123298104,-0.00118638542612768,-0.00221389998233885,0.132152356806578,0.104268227135505,0.0984004797411968,-0.00614046105400509,-0.00116120706138929,0.0102374416389995,-0.0301009566209808,-0.0108332955686119,0.0130273308994499,0.00891548041175159,-0.0183783780196915,-0.00259494850141391,-0.0165612779274345,1,0.723768584124864,0.549110693209839,-0.0346335512603022,-0.008612311460883,0.0764975461374295,-0.261563017338704,-0.103855660439721,0.0948867425718904,0.0696823394372409
"b_Age_GenX_grtr",-0.075575237551057,-0.458831424776837,-0.00180766379028849,-0.00171310223552345,-0.00267562613512319,0.099404014526891,0.126486350058,0.093981269040846,-0.00744555890789873,-0.0102997884268401,0.0104778680682256,-0.0262061978357446,-0.0123303741937887,0.00914345379828162,0.00920342186758231,-0.0145763873203961,-0.0108981942092644,-0.0283390755950656,0.723768584124864,1,0.528305732676769,-0.0409306050221081,-0.0880491533079523,0.0716476643609706,-0.227422205633376,-0.113145829527683,0.062400649173824,0.0728791127102583
"b_Age_Older_grtr",-0.0585070346091361,-0.360494514942421,-0.000945621731358098,-0.001856661350304,-0.00511547353715257,0.0758493330583408,0.0758607500137958,0.0990955756406006,-0.00350676842165458,-0.00493436670874113,0.00876326429074391,-0.0182775662313716,-0.00896832592669021,0.00172587779989528,0.0115162864779907,-0.00430925588842475,-0.00911169891406035,-0.0444279820254668,0.549110693209839,0.528305732676769,1,-0.011545476021669,-0.0413677345259114,0.0615056029644757,-0.162370293806924,-0.0704959851103966,-0.0170709507911122,0.0924624444150495
"b_Inc_Mid_grtr",-0.0261420896561683,-0.32325632620965,-8.17628331343834e-05,-0.00149150433543954,-0.00305332698880936,-0.00543942030868411,-0.00666774115749872,-0.00333123433740216,0.110152794441923,0.0653017369181096,0.00450567421727056,-0.0198569161112255,-0.00128920688183808,-0.00511485307756213,0.00300191565200151,-0.00247107572458821,0.00148589141534069,-0.0291588995346417,-0.0346335512603022,-0.0409306050221081,-0.011545476021669,1,0.628051274903289,0.0353956713263623,-0.22424244552168,-0.0244343787667197,-0.035806973427384,0.034066954175643
"b_Inc_High_grtr",-0.024457201868827,-0.287316136490975,0.00479891264147325,-0.000520933134602626,-0.00368464708720014,1.45296724841285e-05,-0.0074150614885445,-0.00379810528878281,0.0597422824805431,0.104938363540702,0.00499110382596923,-0.0345856963109959,-0.00446307182650202,-0.00833394628663412,0.0162174646581749,0.0408298108556679,-0.0150433766176286,-0.0268154300148489,-0.008612311460883,-0.0880491533079523,-0.0413677345259114,0.628051274903289,1,0.0380791939192916,-0.34449061508515,-0.0465464545172414,-0.0620910765896233,0.137019348396653
"b_Vpp_Sufficient_grtr",-0.0267640845205579,-0.257327391389699,0.00165927157147013,-0.00081363509369288,-0.00994756571083827,0.00841531488510028,0.00887147704098926,0.00872319504570522,0.00452473380242805,0.0051810996408927,0.114902139657598,-0.00100000071197766,0.000359563977277848,0.0126618501180488,-0.00555376939223038,0.00937702549897248,-0.00530212551741709,-0.0663835635248335,0.0764975461374295,0.0716476643609706,0.0615056029644757,0.0353956713263623,0.0380791939192916,1,0.0134460399142077,0.0107924221361595,0.0872210154232793,-0.0374704992193192
"b_Edc_MoreBachelor_grtr",-0.00115631529778744,-0.0792418290362898,-0.00156680124430764,-0.00347814685589313,-0.00350494901208214,-0.0295828012713198,-0.0286365485629853,-0.0272647217993181,-0.017591307743237,-0.0368626123332081,-0.0015706814072664,0.104928229485053,0.0102598855618361,-0.00399029491688496,-0.000101334825280792,0.00513933152111638,-0.0402466893871863,-0.0306585510634279,-0.261563017338704,-0.227422205633376,-0.162370293806924,-0.22424244552168,-0.34449061508515,0.0134460399142077,1,0.0335119086429148,0.0296690293652955,0.0239890691244256
"b_Gen_NonFemale_grtr",-0.00877586939821542,-0.279743314158053,-0.00289967276077536,-0.000997157588375765,-0.00222424117693374,-0.0118335202841019,-0.0143690994517458,-0.0144315366056667,0.000858137905493359,-0.00367361121388348,-0.000786091316773842,0.00289469028133715,0.103255425447172,0.000203396452052417,0.00289005984274545,-0.0127029397883572,-0.000746616728438328,-0.00576971742897692,-0.103855660439721,-0.113145829527683,-0.0704959851103966,-0.0244343787667197,-0.0465464545172414,0.0107924221361595,0.0335119086429148,1,0.0449347357392738,0.0466950935533196
"b_Ngh_NonUrban_grtr",-0.0435287180644317,-0.349490531161443,-0.00599194855202178,-0.00623919733075708,0.00976454091476272,0.0117017047042582,0.00906478444136056,0.00264069315747893,-0.00541449874506639,-0.00874429915262032,0.0131722295729253,0.000407308435033444,0.00304376519201545,0.11795341533776,0.0142171900530152,-0.0534513967023648,-0.05941685207588,0.0870817739218386,0.0948867425718904,0.062400649173824,-0.0170709507911122,-0.035806973427384,-0.0620910765896233,0.0872210154232793,0.0296690293652955,0.0449347357392738,1,0.0878502168859987
"b_Rac_Other_grtr",-0.0338543543388695,-0.326411592205987,0.00229106683937807,-0.00578704850262241,-0.00580002610227091,0.00773378335005845,0.00842967478778354,0.0127061390403917,0.0026683601192454,0.0169811269030218,-0.00553335099077042,5.46602305745309e-05,0.00270412215854615,0.0147114431585189,0.116093162480602,0.00694740007535993,-0.0356184881135849,-0.0620383463355796,0.0696823394372409,0.0728791127102583,0.0924624444150495,0.034066954175643,0.137019348396653,-0.0374704992193192,0.0239890691244256,0.0466950935533196,0.0878502168859987,1
