"asc_smlr","asc_grtr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Low_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Deficient_smlr","b_Vpp_Sufficient_smlr","b_Edc_LessBachelor_smlr","b_Edc_MoreBachelor_smlr","b_Gen_Female_smlr","b_Gen_NonFemale_smlr","b_Ngh_Urban_smlr","b_Ngh_NonUrban_smlr","b_Rac_White_smlr","b_Rac_Other_smlr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Low_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Deficient_grtr","b_Vpp_Sufficient_grtr","b_Edc_LessBachelor_grtr","b_Edc_MoreBachelor_grtr","b_Gen_Female_grtr","b_Gen_NonFemale_grtr","b_Ngh_Urban_grtr","b_Ngh_NonUrban_grtr","b_Rac_White_grtr","b_Rac_Other_grtr","logLike"
-0.39459756598028,-0.45232511009774,-0.0179837854619471,-0.053391638214452,-0.0779997569054275,-0.24522231892542,0.97323557371627,-0.188016226017064,-0.624477630339136,-0.555339120790093,-0.27635585903186,0.0811852574456997,-0.199426708837389,-0.00699084767346933,-0.387606648814154,-0.532383595729089,0.137786314169692,-0.442428700017246,0.0478312779654683,-0.138550280554474,-0.256047272752447,-0.166678673456948,-0.227918822761439,-0.157614598942685,-0.0173346437354449,-0.239666440618283,-0.0377093426574086,0.80305084473487,0.163196726387181,-0.327078152758489,-1.09149449828432,-0.239607649817418,0.0477944224935726,-0.260512138121447,-0.0657827071992222,-0.386542637617474,-0.475079614305017,0.0227543096384774,-0.886130942365883,0.433805580880018,0.174840323625768,-0.627165648920935,-0.156183097501667,-0.296142116366842,-2860.85803128371
-0.443843240167827,-0.455959011776377,0.0120519416833069,-0.0771918639979008,-0.160580033569595,-0.218123189761345,1.10910951543627,-0.264370937338248,-0.669997225969378,-0.618584348841291,-0.333919486553196,0.0249693086376046,-0.134892684419429,-0.0219052124567107,-0.421937926838277,-0.677886820797304,0.234043999317031,-0.401465915587765,-0.0423771141506631,-0.133490696585704,-0.310352522432878,-0.120812741457861,-0.323030401352166,-0.0732304752636375,-0.0938134719636901,-0.248043399514755,-0.0408715395406055,0.817707903324576,0.0843641658736083,-0.380725827111299,-0.977305202359891,-0.250353457563769,0.0851977803271771,-0.290803703154777,-0.0506880726005105,-0.405271276084999,-0.402884470480415,-0.0530748217566856,-0.798391759825246,0.342432385731516,0.0474824371228812,-0.503441756799895,-0.162320419455074,-0.293638737558646,-2820.98128634819
-0.459423924781361,-0.469803653501896,-0.0528177284108289,-0.0466426734322592,-0.200190676875067,-0.159772723063504,0.935041665739157,-0.262514465700801,-0.534066673357399,-0.597884110515231,-0.239448917676808,-0.0135035761240329,-0.20647092924891,-0.0861267476147098,-0.373297039831357,-0.622866536309792,0.163443169389478,-0.408004210959741,-0.0514194340071032,-0.172306671471597,-0.287117218066546,-0.15359708299717,-0.305826724349698,-0.141822106275186,-0.138509278094062,-0.149566758515471,-0.039905341315013,0.728318021056011,0.0173978229118452,-0.35151311423346,-0.864006308482211,-0.340268019460933,0.0694612415686005,-0.198997369671353,-0.138256852520182,-0.331547246663814,-0.413551257600606,-0.0562527616291604,-0.733143696224682,0.263339573341799,0.11506038706429,-0.584864451551828,-0.169287782992694,-0.300516065919033,-2772.01713896358
-0.448165008177867,-0.473969932918546,-0.0993831662482696,-0.0149463721129445,-0.0827701774974722,-0.251065151518095,0.657198240785593,-0.153128876864866,-0.471932586500083,-0.480301376911233,-0.206310647290957,0.0172354417979218,-0.25908922422019,-0.124878189255925,-0.323286662359643,-0.493257293344449,0.0450929401284532,-0.371970278625286,-0.0761944044246827,-0.138623295058878,-0.309541671296706,-0.230419181253782,-0.217745705202097,-0.199514420417806,-0.107726646374837,-0.118050221526578,-0.0486784465057148,0.652037428414559,0.0893985964857945,-0.339689088465549,-0.875716779183483,-0.217047959597866,0.0546586811570473,-0.31158123013409,-0.137423558699756,-0.336546900168305,-0.278948764936441,-0.195021592799792,-0.823582313225205,0.349611842077917,0.04738241198264,-0.521352829622898,-0.2454264901537,-0.228543662803226,-2749.84431202672
-0.462039460201548,-0.491939364407162,-0.100033381623784,-0.0586527113414913,-0.0101986416077747,-0.293154580621136,0.530029797777347,-0.119624808476411,-0.488235092795661,-0.384208928753925,-0.257974565199655,0.0146758898367029,-0.218740185136196,-0.103650379595884,-0.358388922988518,-0.447354458189457,-0.0146843174114893,-0.385855303380857,-0.0761838225067463,-0.186661080184189,-0.275378338565475,-0.215476844597474,-0.246562501250424,-0.217202809317773,-0.044754225776641,-0.142957528267031,-0.08702459112495,0.577086718309092,0.157829391793418,-0.295039644676785,-0.931815732248378,-0.181829923804831,0.0261442084835449,-0.336254246664802,-0.115218817690365,-0.376721096068472,-0.34807605588523,-0.143863741890962,-0.797560166309286,0.30562024907269,-0.0172580810076318,-0.474681791146371,-0.241871398290805,-0.250068189149695,-2744.81119981165
-0.463239035404237,-0.493423552233671,-0.0983036344641707,-0.0709044122240354,-0.0177248982744201,-0.276305945247176,0.508502287958449,-0.104894335361921,-0.495909698979695,-0.370936853130405,-0.274048923608155,0.0198169130961457,-0.209006417634836,-0.110398318632018,-0.35284055961434,-0.457455696800601,-0.00578264205625588,-0.369552938383348,-0.0936857605264241,-0.164523167839475,-0.298715824641857,-0.224716533010975,-0.238522394166659,-0.218411800499778,-0.0242922202054566,-0.164646793860387,-0.0860725252933216,0.55942388481365,0.168741194912189,-0.260894944534211,-0.960693589006712,-0.168138779586422,0.0198109512478084,-0.34509632154484,-0.122519558751983,-0.370904551694097,-0.347981936041294,-0.145442047351206,-0.780268325168411,0.286844218066454,-0.00203388169334255,-0.491390185273254,-0.231299118896319,-0.262124653387777,-2743.77387044966
-0.462919217739749,-0.501983264758096,-0.0597990715208923,-0.0843815659400589,-0.0981816971717094,-0.220556739293438,0.491309641858744,-0.151872706758425,-0.450334618183259,-0.352020967991449,-0.252663494937596,0.00289080908665945,-0.213145876165741,-0.137571243055091,-0.325347822081962,-0.42981334953997,-0.0331050926158998,-0.39266398634489,-0.0702548571953646,-0.173102124010836,-0.289817037741719,-0.209852498083392,-0.253066631537619,-0.209025327093464,-0.0386042416668077,-0.215775862812866,-0.0385775827235542,0.514768471392781,0.193829185733555,-0.166503366540512,-1.04407745525619,-0.187971874161373,0.0309640967561958,-0.344976121063211,-0.138009541521577,-0.363974364751823,-0.316268489689455,-0.185715233386001,-0.79014338403107,0.288159557631523,-0.0262640732817205,-0.475719748074717,-0.228283826889046,-0.273699682584467,-2740.78834086057
-0.481395887441594,-0.500146554626709,-0.0394164210965218,-0.0052754932829147,-0.139596571554922,-0.297107284536371,0.372506108307048,-0.120353585292233,-0.317479363698663,-0.416067943059877,-0.227684869676262,-0.0162182023346587,-0.237492013261146,-0.16232520477564,-0.319070570116812,-0.505029099841361,0.0236343032490297,-0.411183114357122,-0.0702122852290464,-0.20492646364517,-0.276469348922284,-0.262573464190672,-0.218822428486378,-0.177374434414688,-0.0750780065746157,-0.187502518539349,-0.0601911910948014,0.502609786900692,0.229289734615787,-0.130492788951937,-1.10155318228569,-0.266824461206984,0.0111149421038767,-0.244437802243177,-0.191501769318293,-0.308645754074743,-0.313657340961885,-0.186489789649393,-0.749755298362264,0.249608157007812,-0.0384901726915109,-0.461657114825717,-0.291026317924752,-0.209120592008383,-2727.10373211784
-0.531049651628971,-0.516408934601502,-0.42000825162891,0.0515355540421087,-0.0333331957604582,-0.129243706218382,0.0665940426114139,-0.022799053282353,-0.190395186111615,-0.384446401850571,-0.105068201629847,-0.303749337576804,-0.122230788167381,-0.306071368939464,-0.224978337100868,-0.393298631572649,-0.137748753512376,-0.532984303756064,0.00193557503983061,-0.116155443229024,-0.414894063798332,-0.14382539114386,-0.387224613691485,-0.300988203243421,-0.157729591035367,0.140271562686299,-0.197961760732659,0.6814931609876,-0.00828336639400715,-0.364539954665622,-0.825078652914678,-0.307141722796485,0.070619844086988,-0.279888352317584,-0.138954215845609,-0.377456903143032,-0.257353438602926,-0.259056510884036,-0.702739896463398,0.186330284439714,0.161506334790698,-0.677916654392162,-0.0800801679950268,-0.436329519817428,-2720.03183059871
-0.536154722912815,-0.515183225225833,-0.464668378264817,0.0350062864340334,-0.0122686961070161,-0.0942238816651365,0.0508156659347409,-0.0577575116904186,-0.195519848610616,-0.33368987275951,-0.130743692579035,-0.264038423640234,-0.141371252242707,-0.303847330441612,-0.232307455455415,-0.412511859628823,-0.123640527895884,-0.543974107441677,0.00782033663500877,-0.114686818500716,-0.421467754788143,-0.149073063051488,-0.387082030100907,-0.380348230668902,-0.158888207311585,0.145451827685263,-0.12139764630113,0.70628584090729,-0.0625561815598773,-0.373986820526241,-0.784925941144442,-0.289883780057589,0.0636700811916395,-0.288970858379296,-0.166863398669576,-0.34832207958382,-0.280491726172059,-0.23469253832596,-0.70960950830496,0.194425601190484,0.149197038537611,-0.664381684676175,-0.093780264461485,-0.42140373584769,-2717.02112841651
