"asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_Age_Millenials_smlr","b_Age_GenX_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Vpp_Sufficient_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonFemale_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr","b_Age_Millenials_grtr","b_Age_GenX_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Vpp_Sufficient_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonFemale_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr","logLike"
0.0279660864973908,-0.776842347222455,0.0460399904509885,0.155935542878119,-0.0392816806069345,0.027087124802525,-0.107347284672473,-0.00240784460950956,-0.028744730017288,-0.098348893300123,0.0939816716630277,0.11818689270331,0.014391569001731,0.136244286429815,-0.0816261849775478,0.00865174303418864,0.131980682271815,0.150070184013429,-0.144029216187752,-0.17270723755411,-0.0593576032662214,-0.0978471964421883,-0.0792819608878234,-0.11786838324462,0.44378968365368,0.0502787584427549,0.296966032483761,0.0228279119047151,-0.0225690201830173,0.0410110356880689,0.0346526266991811,0.0289417628210903,0.176848250630389,-0.0349242821354269,0.110218429618589,-0.265052150286841,-0.0255253391209963,-0.239931894302509,-0.187477837330071,-0.304051920828872,-0.253270270709455,-0.124126658678408,-0.0511180319614553,-0.0728632893609304,0.266390496217727,0.468758498005303,-0.294759906661865,0.00804178495327194,-4491.63218441364
-0.00469290148607896,-0.866380457080298,0.0274271341037722,0.137376102227186,-0.0319994040988655,0.0297797935579585,-0.109997909169298,-0.0175595972628135,-0.0302059504926169,-0.10479059511214,0.089984965925944,0.106656089789826,-0.00521102367791907,0.136120511726463,-0.0845211762645478,0.0331209717952266,0.138144280795629,0.172369652495972,-0.184772147592443,-0.182968721880651,-0.0755701965256489,-0.0706836289386673,-0.0398458287081169,-0.135452522066069,0.422728268681714,0.0282975187224173,0.275882182007898,0.0357528305653148,-0.0125468702532647,0.0665647864471613,0.0312356368926493,0.0329152427331584,0.153439048487374,-0.032335274548858,0.10509995764302,-0.294659293811646,-0.0204942742955058,-0.249424081420709,-0.234393631426137,-0.339848831107157,-0.27453556121405,-0.118045912172805,-0.0549441725163356,-0.0650110033412034,0.325487845776824,0.514815249896057,-0.279489656262243,0.0753956637503903,-4487.62361956085
-0.0380135477224697,-0.939315672331141,0.0370797954497182,0.136399799022401,-0.0201897756477972,0.0545349111287356,-0.114191501400954,-0.0132956616060729,-0.00498877824813544,-0.105841655771294,0.0810158562957533,0.0983819999814965,-0.0243365756292602,0.131240556453661,-0.0833175706488251,0.0594473059430506,0.149481501928331,0.19319746570093,-0.207633409644177,-0.196322241759263,-0.0794459845539572,-0.0272330130948774,0.00757531209465886,-0.137917191537568,0.39753777703562,0.0260077676427952,0.274010190643903,0.0484874830134328,0.0164938139573027,0.0542483585453092,0.0396971696056229,0.0563256347362713,0.172265327920315,-0.067271105310648,0.0786517550483411,-0.31370999678901,-0.0146049326209564,-0.24520538811006,-0.27096999532924,-0.37341801400152,-0.296263269784554,-0.108577489355655,-0.0505078175857809,-0.0492910249645299,0.388587698633994,0.558122748137952,-0.256179681552913,0.150882637789802,-4485.11127670284
-0.0598887860142198,-0.96705227475416,0.0361217493719767,0.13101838984481,-0.0223080587120174,0.044549714058634,-0.113352163641763,0.000765581071352175,-0.00156679311529505,-0.115532193719225,0.0698744252242509,0.103686484003186,-0.0319645093894928,0.124902371947924,-0.0851271645641591,0.0620717730003238,0.156745717066671,0.198809480366212,-0.198090887952672,-0.215529193239307,-0.0702242195690445,-0.0138499430252693,0.0179264807761776,-0.127305653660248,0.396403395444207,0.0264985096132154,0.268387503457737,0.0535720226594589,0.0199492212939555,0.035550211433463,0.0321007336797137,0.0536519732845498,0.174680020802706,-0.0682628771639178,0.0798449745738829,-0.314496536305852,-0.0155773660726267,-0.23605556895962,-0.281772005449285,-0.387994912282004,-0.303892069493812,-0.109120023001849,-0.0437008295454822,-0.0435393837518027,0.40590846609554,0.560514831855127,-0.245108755652085,0.169829684420037,-4484.08342257049
-0.0935521598344142,-0.998273034644779,0.0388987220832531,0.138504158667636,-0.0157327291991463,0.0474357003210495,-0.126963837388543,-0.00547398373516434,-0.000837875870007876,-0.129150806908555,0.069256764491234,0.114410632603665,-0.0397118253155297,0.11443226045341,-0.088239271913522,0.0616262703295961,0.170563291794916,0.208496550641089,-0.179233425688478,-0.235225313636762,-0.0503765184249798,0.0100526012253085,0.026958130711707,-0.104052165394054,0.402029138246352,0.0268936717684458,0.259790759291194,0.0611982308250477,0.0110990674696612,0.030985476342425,0.0391762338150868,0.0439702523548317,0.178893661880466,-0.0660214915776692,0.0925917328840068,-0.310101525592605,-0.0173693847935358,-0.214500466558347,-0.290372166309478,-0.406865590622436,-0.315048578970888,-0.10554968667336,-0.0331977458351516,-0.0343414997601495,0.428581918408205,0.559558272354075,-0.22119529179474,0.189803241102776,-4482.85482822711
-0.124840055111212,-1.02332640049397,0.0415497094390553,0.136745044413867,-0.0161046100883861,0.0461232341879461,-0.118926387615572,-0.00626521554984674,-0.00274705306185439,-0.117740893749357,0.0758803543827525,0.10839974058716,-0.0450232007762914,0.104673105231519,-0.0883057478892955,0.0619537659082261,0.176572039023065,0.213170009119382,-0.174082033613815,-0.237518046366075,-0.0375504841715754,0.0224407091659068,0.0232593015056698,-0.0852358753019147,0.41027972338416,0.0298985697740951,0.265779949622583,0.0693933996672691,0.00664492456123179,0.0308482377882179,0.0463627586570851,0.0393514156424248,0.176799523618022,-0.0694691948046166,0.0961944619156787,-0.302334319610581,-0.0189034637951833,-0.200388181885804,-0.296520561147092,-0.417686156135217,-0.325215877697868,-0.0980065445843193,-0.031540310584265,-0.0283518645922596,0.437637199247077,0.554296878634959,-0.206067366803885,0.193225337406093,-4481.92982606543
-0.162080133352575,-1.05348167166154,0.0347620256789645,0.141931511795792,-0.0137920950520123,0.0442873195910671,-0.125479048394438,-0.00124708042966567,-0.0156401862186033,-0.11014784797372,0.0689496627338906,0.106390120458067,-0.0468130934657302,0.0940676942559811,-0.0843713601175033,0.0695167509139984,0.180683839433374,0.219758965356655,-0.173445218633812,-0.227533772975281,-0.0225718691788072,0.0318664000913414,0.0154287556887375,-0.0630919649716683,0.426805630594935,0.0360135178660655,0.269092541530651,0.0713700917629866,0.00162260920425557,0.0359800609908582,0.0448203910671856,0.0435768417035365,0.178998221743475,-0.0699549629147747,0.0804741550914774,-0.287346632035718,-0.0185027075956208,-0.184412303920996,-0.305869825453141,-0.424662159238345,-0.337211003728042,-0.0843167503024852,-0.0294982700110839,-0.0198212767996447,0.449207343012485,0.547625205303185,-0.184909366512167,0.189078329992408,-4480.95282923828
-0.270324198914272,-1.14377064502418,0.0522943698661993,0.139211165668172,-0.00073307909654575,0.0350163891422706,-0.131612889744956,-0.00598936290161151,0.0141411775277174,-0.131774380654622,0.0793837022599689,0.11087105303126,-0.0247249780332,0.0780374405036623,-0.0563051037220135,0.110536467920222,0.189551700156706,0.253829171220096,-0.176156598887143,-0.146243078884676,-0.00984451763202393,0.0331312251919877,-0.00884522362252294,-0.0185389400215922,0.460531908450317,0.00786611450155623,0.282848916563999,0.050092286954858,0.00925180849639381,0.0172498927674913,0.0120239070823974,0.052194480606449,0.20563325058589,-0.0389690277516996,0.0910106508571144,-0.216917941775519,0.00233597260499788,-0.153918956474633,-0.332236350705981,-0.423303529245682,-0.369902650392263,-0.0398445596285577,-0.0165433800210364,0.0179757311096536,0.475919192863906,0.530238654672132,-0.125277769484837,0.16614631438341,-4480.7689288797
-0.348653746354576,-1.22482756895447,0.0176664097266902,0.143454622151445,-0.00720869852694937,0.0251378250593058,-0.135559755018743,-0.000226003600567306,0.0426543282891737,-0.127189205397595,0.0777972691356927,0.115733087434752,0.0254201681923495,0.103310580374198,-0.0340612111701322,0.158121375263603,0.223136984950154,0.281604006222831,-0.119705806263136,-0.0976226945178613,-0.0232893470192355,-0.00431918034651974,-0.00240201115852007,-0.0137109290911709,0.466217342244149,-0.00134243122876735,0.282919463446005,0.0310806244008725,0.0283890371571637,0.0284346789222085,0.0308224685857958,0.0424854219750596,0.207768675858967,-0.0613349858984044,0.100785067733041,-0.147645595143522,0.0374581349431971,-0.129191214540538,-0.337005820223625,-0.420029487439266,-0.390940166428617,-0.0265268428345059,0.0180142805732923,0.0465104450735806,0.47745602717038,0.520741641267412,-0.0884816015028085,0.147830170000761,-4479.29784925972
-0.401078281003925,-1.27726003590315,0.0189851927352721,0.14405418405859,-0.015295061229552,0.0413303011961575,-0.126875298978226,0.011407444811638,0.024421239243795,-0.13509522513319,0.074786896686901,0.11214194075054,0.0599933518947101,0.128823939975567,-0.0196587935783805,0.184275511029872,0.251646757762343,0.301810389873841,-0.0796241263893651,-0.0669448601106226,-0.0331525450293879,-0.0304486647087437,0.00185831199221275,-0.0148827848562869,0.458778439017241,-0.0151541343552228,0.282239740568678,0.0282868920838269,0.0296228140252491,0.0326365158968999,0.0345666327274807,0.0478219183888041,0.208090645932016,-0.0739262165180151,0.109090720099678,-0.10162078390647,0.0640723390978344,-0.110464274338964,-0.332542291080389,-0.418679416901342,-0.401151601342656,-0.0175346350765614,0.0425543689931725,0.0600363868745024,0.472342891969185,0.520109754008097,-0.0712910822174571,0.140383799859926,-4477.58188077814
