"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"b_City_Midwest_smlr",-0.99999957606357,NA,-0.000625987922676554,0.000815995172054442,-0.000825024625430006,-0.000474507014687038,-0.00045350894960937,-0.00126175112831726,-0.000317635755880356,0.000200608120972214,-0.000460201825687524,-0.000536788374125088,1,0.999999313220431,0.999999264801356,0.999999410381227,-0.000408351897714414,8.31070066395774e-05,-5.64910391244107e-05,-0.000327284701928044,-0.000889323972282009,0.000293021777808142,0.000990499624374912,-0.000512075856835348,8.41326961160456e-05,-0.000194217198650999,NA,NA,NA,NA
"b_City_Northeast_smlr",-0.999999708176458,NA,-0.000669797197399246,0.000785256722900823,-0.000771857639998465,-0.000480218178612392,-0.00035757080179784,-0.00122914835711551,-0.000328320521275372,0.000184607203995905,-0.000477066330931508,-0.000558687403501519,0.999999313220431,1,0.999999392972218,0.999999534886512,-0.000415312350158607,8.04265068129063e-05,-5.07343606688404e-05,-0.000328016840847642,-0.00087600186368785,0.000299258334643391,0.000987614203452932,-0.000513283215503438,8.21514521095703e-05,-0.00019759357414164,NA,NA,NA,NA
"b_City_South_smlr",-0.999999647955574,NA,-0.000630388809751056,0.000781228108753161,-0.000788679940592317,-0.000502203088421442,-0.000431097026060259,-0.00124908756395206,-0.00029609166533917,0.000199865344795792,-0.000468996165631449,-0.000536484984060469,0.999999264801356,0.999999392972218,1,0.999999483477109,-0.000410954180029597,7.97672589598847e-05,-5.28071055432564e-05,-0.000328240196146418,-0.000885451794864384,0.000295282611344245,0.000990957598129663,-0.000510747601847751,8.14049672389702e-05,-0.000194763082412892,NA,NA,NA,NA
"b_City_West_smlr",-0.999999795795952,NA,-0.000648334978926491,0.000809888879775162,-0.000778248547561784,-0.000491008443967196,-0.000477795723857584,-0.00126604861182106,-0.00032863336107436,0.000208361244558382,-0.000473656633811582,-0.000532755460280597,0.999999410381227,0.999999534886512,0.999999483477109,1,-0.000412268682985284,8.40651653098713e-05,-5.12466106859796e-05,-0.00032810760365182,-0.000893071927541656,0.000292248389081493,0.000986467317572651,-0.000509635893206884,8.09282139761835e-05,-0.000193480664129664,NA,NA,NA,NA
"b_FA1A_grtr",0.000413376316381534,NA,0.125415321377915,-0.00974605139938504,0.0222755964869538,-0.0238137322217283,0.0159536152563316,-0.00989440326328982,-0.0076338904804022,-0.0212701506260321,-0.00819651779601449,0.00618127103197188,-0.000408351897714414,-0.000415312350158607,-0.000410954180029597,-0.000412268682985284,1,-0.114496754634033,0.195183388917025,-0.234759657912753,0.0180409691579804,-0.137813278438809,-0.0371546728823891,-0.198200450677773,-0.0806772666255904,0.00281654659588019,NA,NA,NA,NA
"b_FA2A_grtr",-8.67962492760062e-05,NA,-0.00702373887959222,0.0990604674328633,-0.0281720263880509,-0.0277498565326413,0.00789555788828221,-0.013564017158485,-0.00239581264014805,-0.00929970353677124,-0.000211392020635182,-0.00935015224250619,8.31070066395774e-05,8.04265068129063e-05,7.97672589598847e-05,8.40651653098713e-05,-0.114496754634033,1,-0.316897902638529,-0.31331981065014,0.0668256765648031,-0.106512027038529,-0.0423392877891465,-0.165678216555572,0.0309214269182416,-0.126232332857605,NA,NA,NA,NA
"b_FA3A_grtr",5.1561760415753e-05,NA,0.0228468755008781,-0.0304174448542198,0.0959764594514998,-0.0159873966976881,-0.0326560487634591,0.031320631529136,7.65666254180386e-05,0.00947027283763403,0.00259832052578111,-0.00644297342209655,-5.64910391244107e-05,-5.07343606688404e-05,-5.28071055432564e-05,-5.12466106859796e-05,0.195183388917025,-0.316897902638529,1,-0.215552939704917,-0.329162720442091,0.258409156618682,0.005532246237007,0.0215329275461378,0.050365661795251,-0.118844113766179,NA,NA,NA,NA
"b_FA4A_grtr",0.000324095010003021,NA,-0.023423425126962,-0.0289426120905791,-0.0153829332834161,0.102264736304217,0.0121439336650666,-0.00689592544966332,-0.00417015524308906,0.00289909963340031,-0.0123782593956094,0.00868783470173125,-0.000327284701928044,-0.000328016840847642,-0.000328240196146418,-0.00032810760365182,-0.234759657912753,-0.31331981065014,-0.215552939704917,1,0.0886669832317763,-0.120138038598659,-0.0437318184800448,0.0076028956373576,-0.0508624952765341,0.0413651582205665,NA,NA,NA,NA
"b_FA5A_grtr",0.000880970876619818,NA,0.0162683929632246,0.00818029440709606,-0.0325956077318595,0.0108672386371434,0.117948544161634,-0.00230839667351913,0.0124322818347376,-0.00104969895121401,-0.000891743318264479,-0.00656839290284155,-0.000889323972282009,-0.00087600186368785,-0.000885451794864384,-0.000893071927541656,0.0180409691579804,0.0668256765648031,-0.329162720442091,0.0886669832317763,1,-0.183834630177429,0.11854618557165,-0.0355362854403568,-0.0976252718065449,-0.0730206754289491,NA,NA,NA,NA
"b_FA6A_grtr",-0.000297104321025136,NA,-0.0113010383394722,-0.0155466400568692,0.0317794090202621,-0.00519493595204642,-0.00318472917846357,0.125668417709836,-0.00219377559919497,-0.0239264107987487,-0.00198030550912609,-0.00164587618396834,0.000293021777808142,0.000299258334643391,0.000295282611344245,0.000292248389081493,-0.137813278438809,-0.106512027038529,0.258409156618682,-0.120138038598659,-0.183834630177429,1,-0.0087781218847378,-0.193554846934952,-0.0205696958876296,-0.022167981386729,NA,NA,NA,NA
"b_FA1H_grtr",-0.000990106459802641,NA,-0.00647194257153328,-0.00116018229662917,0.00128742666135922,-0.00302930814559455,0.0123962248742988,-0.00189202181814039,0.101903689092334,-0.0454412526112724,-0.00126099601750996,0.00338382498820914,0.000990499624374912,0.000987614203452932,0.000990957598129663,0.000986467317572651,-0.0371546728823891,-0.0423392877891465,0.005532246237007,-0.0437318184800448,0.11854618557165,-0.0087781218847378,1,-0.488330140696145,-0.0643197871419807,-0.0286335282065731,NA,NA,NA,NA
"b_FA2H_grtr",0.000510409322628657,NA,-0.0210803905041161,-0.0166190974690809,0.00691505063410402,-0.00159251252735312,-0.00254952127493092,-0.0215838240471329,-0.0540532945168931,0.132115270385362,0.0232993673350328,-0.0103282360327899,-0.000512075856835348,-0.000513283215503438,-0.000510747601847751,-0.000509635893206884,-0.198200450677773,-0.165678216555572,0.0215329275461378,0.0076028956373576,-0.0355362854403568,-0.193554846934952,-0.488330140696145,1,0.110493853953341,-0.152635100135545,NA,NA,NA,NA
"b_FA3H_grtr",-8.25711992707616e-05,NA,-0.00755380182678291,0.00401984879281825,0.00387815440571481,-0.0107562423539845,-0.000676453893229264,-0.00377333871769816,-0.000916191703659841,0.0243454007732381,0.12175824667473,-0.042970022973139,8.41326961160456e-05,8.21514521095703e-05,8.14049672389702e-05,8.09282139761835e-05,-0.0806772666255904,0.0309214269182416,0.050365661795251,-0.0508624952765341,-0.0976252718065449,-0.0205696958876296,-0.0643197871419807,0.110493853953341,1,-0.319302750817867,NA,NA,NA,NA
"b_FA4H_grtr",0.000197164552795786,NA,0.00704839660817083,-0.0106773550804396,-0.00605017818641728,0.00718473847645402,-0.00661452895143104,-0.000633105999750636,0.00200304431184963,-0.00724137238153862,-0.042833234985695,0.112588075167623,-0.000194217198650999,-0.00019759357414164,-0.000194763082412892,-0.000193480664129664,0.00281654659588019,-0.126232332857605,-0.118844113766179,0.0413651582205665,-0.0730206754289491,-0.022167981386729,-0.0286335282065731,-0.152635100135545,-0.319302750817867,1,NA,NA,NA,NA
"b_City_Midwest_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_Northeast_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_South_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_City_West_grtr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
