"","asc_smlr","asc_grtr","b_FA1A_smlr","b_FA2A_smlr","b_FA3A_smlr","b_FA4A_smlr","b_FA5A_smlr","b_FA6A_smlr","b_FA1H_smlr","b_FA2H_smlr","b_FA3H_smlr","b_FA4H_smlr","b_City_Midwest_smlr","b_City_Northeast_smlr","b_City_South_smlr","b_City_West_smlr","b_FA1A_grtr","b_FA2A_grtr","b_FA3A_grtr","b_FA4A_grtr","b_FA5A_grtr","b_FA6A_grtr","b_FA1H_grtr","b_FA2H_grtr","b_FA3H_grtr","b_FA4H_grtr","b_City_Midwest_grtr","b_City_Northeast_grtr","b_City_South_grtr","b_City_West_grtr"
"b_FA3H_smlr",0.00349389353886942,0.0202664581878057,-0.000230250349135751,0.000119172029287348,0.000153993241765955,-0.000255534720230581,-0.00013178535803049,-7.02777513908627e-05,-2.72209726032259e-05,0.000564942805650234,0.00266358508463846,-0.00084716826511667,-0.00339269032925187,-0.00351701070422888,-0.00345750951298055,-0.00349185796220088,-2.49265171557065e-05,-7.39304442267825e-07,1.04142242762967e-05,-3.9101858817707e-05,-2.4045963966181e-06,-5.36470816337438e-06,-4.6125508858429e-06,7.55238439799463e-05,0.000335841899164477,-0.000111718821083935,-0.0202234579903272,-0.0202604604202751,-0.0202593534791824,-0.0202545351879722
"b_FA4H_smlr",0.00371536995760702,-0.000417287552381318,6.34658569314591e-05,-0.000327057930655782,-0.000360800583508522,0.000155575341809689,-0.000130380674974998,-4.99581477365941e-05,1.219397440204e-05,-0.000381548550696223,-0.00084716826511667,0.00222382997643669,-0.0036159006363668,-0.00376340801422889,-0.00361384203629839,-0.00358870994242609,1.71762164596317e-05,-2.98793338530165e-05,-2.35959813833604e-05,2.50764974243627e-05,-1.61837422902642e-05,-4.0740707796769e-06,1.13097460003499e-05,-3.05902914794412e-05,-0.000108297786534644,0.000268321433606643,0.000425570780142362,0.000411881645791776,0.000425592792582073,0.000427890259659644
"b_City_Midwest_smlr",-20404.3311908399,14476214.5777511,-0.00511581621106997,0.00717189262268553,-0.00865153906669947,-0.0042258085754791,-0.00314937403625384,-0.00907889482247252,-0.00281883162558843,0.00178952979140749,-0.00339269032925187,-0.0036159006363668,20404.4640954628,20404.4049460947,20404.3649019429,20404.3140219093,-0.00343713114049552,0.000804454851386498,-0.000626676017542684,-0.00286149399606424,-0.00663730288417383,0.00219706605494788,0.010027925062161,-0.00459413303951862,0.000642289182127676,-0.0014020466476502,-14476214.5547774,-14476214.5990518,-14476214.5571208,-14476214.5590658
"b_City_Northeast_smlr",-20404.2887507741,14476214.5728843,-0.00547383049525356,0.00690171294254453,-0.00809399083240169,-0.0042766609249199,-0.00248313006659081,-0.00884428293336826,-0.00291364622635702,0.00164678956604354,-0.00351701070422888,-0.00376340801422889,20404.4049460947,20404.3738235024,20404.3223813733,20404.271426652,-0.00349571010215704,0.000778506567403215,-0.000562813806558721,-0.00286788884075,-0.00653786135988495,0.00224382255548062,0.009998690631622,-0.0046049547762181,0.000627162502835002,-0.00142641741990935,-14476214.5517956,-14476214.5924096,-14476214.5522847,-14476214.5542403
"b_City_South_smlr",-20404.2484660436,14476214.5772325,-0.00515176071083512,0.00686629184000397,-0.00827038000173304,-0.00447244254644173,-0.00299372301276566,-0.00898773741552103,-0.00262762957584482,0.00178289648127304,-0.00345750951298055,-0.00361384203629839,20404.3649019429,20404.3223813733,20404.2957113152,20404.231321747,-0.00345902048986671,0.000772123750740328,-0.000585806360896727,-0.00286983616855019,-0.00660837634594721,0.00221400856270751,0.0100325202418297,-0.0045821975775014,0.000621462481340768,-0.00140598156064273,-14476214.5561101,-14476214.598526,-14476214.5548124,-14476214.5585654
"b_City_West_smlr",-20404.1976324231,14476214.5733206,-0.00529840918055701,0.00711817543170923,-0.00816097114444858,-0.00437273547388555,-0.00331801008221976,-0.00910975561352869,-0.00291640921128014,0.00185867915081522,-0.00349185796220088,-0.00358870994242609,20404.3140219093,20404.271426652,20404.231321747,20404.188010837,-0.00347007556439271,0.00081372408037095,-0.000568493784616767,-0.00286866932847688,-0.00666522995347403,0.0021912523912994,0.00998703398708663,-0.00457221176114181,0.000617821217060285,-0.00139672018333394,-14476214.5521973,-14476214.594632,-14476214.5527116,-14476214.553754
"b_FA1A_grtr",0.00347940089293277,0.00495180533395375,0.000422800903051197,-3.53354981610677e-05,9.63589669302154e-05,-8.74844730593557e-05,4.57018548390881e-05,-2.936873370191e-05,-2.7946151386811e-05,-7.82703578730807e-05,-2.49265171557065e-05,1.71762164596317e-05,-0.00343713114049552,-0.00349571010215704,-0.00345902048986671,-0.00347007556439271,0.00347214501879943,-0.000457186653160396,0.000893187624555535,-0.000846694878138478,5.55428081124669e-05,-0.000426256103804156,-0.000155169563393711,-0.000733517089209573,-0.000254069953454865,8.38741340826275e-06,-0.00532633736479007,-0.00554663627607829,-0.00517383996228311,-0.00537823964598142
"b_FA2A_grtr",-0.000840160672838675,-0.000223685867547236,-2.72305353123984e-05,0.000413033620798981,-0.000140146865933266,-0.000117237558965506,2.60111794334665e-05,-4.63005825912656e-05,-1.0086289861451e-05,-3.93548597277566e-05,-7.39304442267825e-07,-2.98793338530165e-05,0.000804454851386498,0.000778506567403215,0.000772123750740328,0.00081372408037095,-0.000457186653160396,0.00459201054904566,-0.00166771455225838,-0.00129955250493086,0.00023659951162352,-0.000378861703076422,-0.000203347648686216,-0.000705137027030852,0.000111986112783242,-0.000432298997191615,-0.000721751689371394,-0.00103514242198781,-0.0010200909730958,-0.000727968751059453
"b_FA3A_grtr",0.000571990220151928,-0.00331895133220121,0.000101511235364207,-0.000145347389939605,0.000547179105327073,-7.74075376876185e-05,-0.000123293543713035,0.000122525959442058,3.69417594368834e-07,4.5929448684836e-05,1.04142242762967e-05,-2.35959813833604e-05,-0.000626676017542684,-0.000562813806558721,-0.000585806360896727,-0.000568493784616767,0.000893187624555535,-0.00166771455225838,0.00603117360911249,-0.0010246119148868,-0.00133561288109888,0.00105339058502068,3.04506512427715e-05,0.000105029346875232,0.000209044460806491,-0.000466434614823895,0.00228816481988833,0.0028957817775842,0.00273168752277504,0.00282801390740473
"b_FA4A_grtr",0.00283358883678115,0.00408595110659219,-8.20240710371574e-05,-0.000108999838310371,-6.91206093903932e-05,0.000390242914238131,3.61359692050624e-05,-2.12614941459158e-05,-1.58574705667183e-05,1.10814222582167e-05,-3.9101858817707e-05,2.50764974243627e-05,-0.00286149399606424,-0.00286788884075,-0.00286983616855019,-0.00286866932847688,-0.000846694878138478,-0.00129955250493086,-0.0010246119148868,0.0037463562532778,0.00028355382502914,-0.000385980791910095,-0.000189712628695342,2.92274035898589e-05,-0.000166381641114632,0.000127953275452888,-0.00349907404586201,-0.00362785420319111,-0.00383441623700054,-0.00370106591788867
"b_FA5A_grtr",0.00657492108064424,0.0091147005955323,4.86295306681836e-05,2.62979301845413e-05,-0.000125023596743056,3.53991498022234e-05,0.000299596965403294,-6.07541805350662e-06,4.03549712423292e-05,-3.42500831713021e-06,-2.4045963966181e-06,-1.61837422902642e-05,-0.00663730288417383,-0.00653786135988495,-0.00660837634594721,-0.00666522995347403,5.55428081124669e-05,0.00023659951162352,-0.00133561288109888,0.00028355382502914,0.00272984558606172,-0.000504169983176545,0.000438986124747727,-0.000116613207589171,-0.000272605429437181,-0.000192808895998569,-0.00973619152542136,-0.00918350936617944,-0.00963042545787492,-0.00990134109365024
