"b_asc_smlr","b_City_Midwest_smlr","b_City_South_smlr","b_City_Northeast_smlr","b_Age_GenZ_smlr","b_Age_Millenials_smlr","b_Age_Older_smlr","b_Inc_Mid_smlr","b_Inc_High_smlr","b_Hel_smlr","b_Rem_smlr","b_Vdc_smlr","b_Edc_MoreBachelor_smlr","b_Gen_NonMale_smlr","b_Chl_Yes_smlr","b_Ngh_NonUrban_smlr","b_Rac_Other_smlr","b_asc_grtr","b_City_Midwest_grtr","b_City_South_grtr","b_City_Northeast_grtr","b_Age_GenZ_grtr","b_Age_Millenials_grtr","b_Age_Older_grtr","b_Inc_Mid_grtr","b_Inc_High_grtr","b_Hel_grtr","b_Rem_grtr","b_Vdc_grtr","b_Edc_MoreBachelor_grtr","b_Gen_NonMale_grtr","b_Chl_Yes_grtr","b_Ngh_NonUrban_grtr","b_Rac_Other_grtr","logLike"
-0.130708657284369,-0.0610446440265705,0.25158117580949,0.119299196028906,-0.146473625978093,-0.0505944985240282,-0.112632493567053,-0.161789903995907,-0.156247412695636,0.220791559529407,-0.19152716805111,-0.0207068659212655,0.0105010261493563,0.0190685685654123,0.296910115946428,-0.0319838886202905,0.00846898271390822,-0.520364052838175,0.182392677685571,0.360164018893249,-0.0029690954222284,0.321090110657928,0.145424294170054,0.0376457657524894,-0.250686842881541,-0.184245263125226,0.0862960899296191,0.0875493002598753,0.02038579747561,0.284524625818403,-0.515942266197878,0.593785387651571,-0.23017024853075,-0.289430851735568,-1788.40304393296
-0.156903211073279,-0.0311212416448394,0.273374358073962,0.16601295340164,-0.119525849616413,-0.0557788565048146,-0.0893376607305053,-0.236012350360756,-0.170173139409837,0.229304067020813,-0.229649061019062,-0.0195386423571015,0.0445246568945489,0.0500496885147481,0.286465718083563,-0.0255135783164879,0.0142526741735523,-0.643182488230265,0.230684509242397,0.391107798851377,0.0321391140676801,0.402901202503023,0.175172651182357,0.0997762141688545,-0.262866247804955,-0.269675204025562,0.122491259171136,0.104857914620047,0.0307538066165195,0.324175939841005,-0.488622201134005,0.576295369820044,-0.203194554429715,-0.285288717124303,-1786.95479319675
-0.266330943862667,-0.0030082394983263,0.284755289769909,0.279804435266212,0.0489720252145129,-0.0220681237895389,-0.00425659628029233,-0.339192627027065,-0.281921477010786,0.264084788785566,-0.159512654655211,-0.0068073508777478,0.0824862236799044,0.0231507117082407,0.292955569605518,0.00922506213117663,0.0159929311434086,-0.887057039294943,0.361363604122381,0.322103004462161,0.148635434957587,0.501241261418156,0.342685552367253,0.213824338224477,-0.333905815855813,-0.257069125649901,0.139836582046998,0.194971774832756,0.0280021090146547,0.499632364283332,-0.453624960400867,0.505984535659712,-0.290142346278021,-0.272491536319946,-1786.40106638693
-0.294689331106047,0.0085197054599005,0.271881774890289,0.290687855542757,0.0796199350217312,0.0218537653151833,0.0150655570360317,-0.354834917826367,-0.284104332561762,0.257074687898372,-0.143922162440169,-0.00613949601631574,0.117385413582041,0.0230585331823873,0.28312003404424,-0.000428602531997902,0.00763735914236425,-0.927851505043618,0.371820181840913,0.314915760229278,0.167528802774438,0.525376129891224,0.352326125016409,0.231245936010995,-0.338162976247962,-0.244879582893659,0.134475276849995,0.230076466736996,0.0294515684105136,0.516034638463945,-0.465764627699988,0.518758851097952,-0.293718600528127,-0.264760516450837,-1785.61070609051
-0.44885301504421,0.0359888697554781,0.224517404247352,0.230001413134353,0.216474175799539,0.0163193856737393,0.125424756332546,-0.33408052252653,-0.250795132021914,0.291418441264182,-0.0859674407242612,-0.00895581173750619,0.178093491770957,0.0378408731922981,0.290868368570624,-0.00930407295535074,0.027958421822633,-1.0483436040712,0.330263377373319,0.357381334701145,0.157094260007868,0.591054717323122,0.405351095905458,0.244588781104329,-0.29446299838399,-0.195743395193194,0.168758141803244,0.23494557219027,0.0182798930649816,0.508098077825498,-0.511644197875774,0.562711632687011,-0.252645361362747,-0.281850536444935,-1783.81369368513
-0.800447463971114,-0.0448089771777153,0.315765247419476,0.106471303419617,0.428743514094975,0.102916046347098,0.242691943938413,-0.17522072497147,-0.150240622891809,0.301749346421773,-0.162057551766101,0.0772286531220758,0.206157212336896,0.0680647792672532,0.377852902837116,0.127243365327813,0.0777857156907884,-1.25090115968597,0.304295316606495,0.362158852130004,0.0487869004485005,0.775962596786831,0.393931413241412,0.314244924594523,-0.156606391950925,-0.0798377334210404,0.156742571868309,0.25817671544668,0.114909317177015,0.501732909239611,-0.516408050826843,0.633304688299859,-0.209994630725196,-0.285656282214419,-1781.74045170259
-0.84986760139399,-0.0632372559946154,0.337215350679246,0.116172857818242,0.453913261797398,0.126993159811624,0.250800164848647,-0.128828424126243,-0.112426329687535,0.308981626051997,-0.182128934757062,0.0424445218237178,0.198201264159085,0.0968832429381454,0.379658458705255,0.166361535377003,0.0866769887869028,-1.27658262005965,0.300237053685916,0.368589741495157,0.0194569208914138,0.814495943543528,0.400700734973206,0.331078199766347,-0.121645269598846,-0.0529245916297334,0.160448860061391,0.261426046963118,0.0682528261592406,0.516130416728201,-0.507685351732588,0.661973594858841,-0.206064759332523,-0.274413857672429,-1780.65226391462
-0.858740496570388,-0.0369686862295476,0.326062474102859,0.260727911628578,0.388169315766176,0.130008791341608,0.170761238406942,-0.0210764604160697,0.0374379167721246,0.279364439743041,-0.189889412453172,0.079121263392488,0.119525079623539,0.170011936982037,0.315266079187903,0.133775943620753,0.0790686937964224,-1.33096258668637,0.247146573088763,0.399194557490342,-0.00178668254912288,0.848887902017933,0.482525707603999,0.342035722934986,-0.0701237892794617,-0.0153186479648299,0.13077981270021,0.15962185805301,0.0989347625953063,0.56392560247504,-0.499217748637071,0.740950351585629,-0.247209903242652,-0.235659156041717,-1779.49964572712
-0.761321227061225,0.0604470450656094,0.40097405342243,0.246210092779987,0.215300995779173,0.0654085251597311,0.068161222187375,0.0730017917888032,0.112693536878043,0.298971166830425,-0.250838583561252,0.0716182188797868,0.0654512231531484,0.184098387761251,0.250196002434293,0.055414904078478,0.103420884476675,-1.34438815113726,0.205743114031439,0.35301371532516,0.160855218125824,0.847063469807388,0.50917515669073,0.337803078526918,-0.0916748126021482,0.0146417408365449,0.157810993516035,0.187081077353791,0.0907663064205594,0.526946886002324,-0.517607428787218,0.754659467231294,-0.279566434520621,-0.259620540165301,-1778.72498045069
-0.601609360067227,0.0961352385527042,0.366799894655563,0.279550127159857,0.0650866972017388,-0.0287473220171849,0.0395857847421859,0.0410573551512431,0.0710796708924599,0.270911730510262,-0.234727300666574,0.078075780744124,0.0227895131961104,0.161007007446686,0.2356141705511,0.0854736804653994,0.124163199940915,-1.28879029326825,0.292045047913171,0.440456885163286,0.193991731895331,0.795595510980721,0.45014087636918,0.296816531007163,-0.103338059550907,0.0181461389838338,0.137036372097889,0.292500778991145,0.099749928062516,0.476558885290499,-0.560519699204357,0.729048262269896,-0.264113373767495,-0.302548379815532,-1777.32052661219
